"Region/Country code","Region/Country name","Local authority code","Local authority","Date","new houses"
"E12000002","North West","E08000003","Manchester","Jun-98",846
"E12000002","North West","E08000004","Oldham","Jun-98",440
"E12000002","North West","E08000005","Rochdale","Jun-98",275
"E12000002","North West","E08000006","Salford","Jun-98",583
"E12000002","North West","E08000007","Stockport","Jun-98",153
"E12000002","North West","E08000008","Tameside","Jun-98",257
"E12000002","North West","E08000009","Trafford","Jun-98",152
"E12000002","North West","E08000010","Wigan","Jun-98",1140
"E12000002","North West","E08000001","Bolton","Sep-98",565
"E12000002","North West","E08000002","Bury","Sep-98",290
"E12000002","North West","E08000003","Manchester","Sep-98",873
"E12000002","North West","E08000004","Oldham","Sep-98",443
"E12000002","North West","E08000005","Rochdale","Sep-98",282
"E12000002","North West","E08000006","Salford","Sep-98",544
"E12000002","North West","E08000007","Stockport","Sep-98",152
"E12000002","North West","E08000008","Tameside","Sep-98",233
"E12000002","North West","E08000009","Trafford","Sep-98",155
"E12000002","North West","E08000010","Wigan","Sep-98",1161
"E12000002","North West","E08000001","Bolton","Dec-98",494
"E12000002","North West","E08000002","Bury","Dec-98",292
"E12000002","North West","E08000003","Manchester","Dec-98",889
"E12000002","North West","E08000004","Oldham","Dec-98",466
"E12000002","North West","E08000005","Rochdale","Dec-98",285
"E12000002","North West","E08000006","Salford","Dec-98",465
"E12000002","North West","E08000007","Stockport","Dec-98",163
"E12000002","North West","E08000008","Tameside","Dec-98",217
"E12000002","North West","E08000009","Trafford","Dec-98",154
"E12000002","North West","E08000010","Wigan","Dec-98",1153
"E12000002","North West","E08000001","Bolton","Mar-99",484
"E12000002","North West","E08000002","Bury","Mar-99",303
"E12000002","North West","E08000003","Manchester","Mar-99",910
"E12000002","North West","E08000004","Oldham","Mar-99",498
"E12000002","North West","E08000005","Rochdale","Mar-99",311
"E12000002","North West","E08000006","Salford","Mar-99",455
"E12000002","North West","E08000007","Stockport","Mar-99",199
"E12000002","North West","E08000008","Tameside","Mar-99",180
"E12000002","North West","E08000009","Trafford","Mar-99",164
"E12000002","North West","E08000010","Wigan","Mar-99",1117
"E12000002","North West","E08000001","Bolton","Jun-99",484
"E12000002","North West","E08000002","Bury","Jun-99",312
"E12000002","North West","E08000003","Manchester","Jun-99",959
"E12000002","North West","E08000004","Oldham","Jun-99",496
"E12000002","North West","E08000005","Rochdale","Jun-99",369
"E12000002","North West","E08000006","Salford","Jun-99",443
"E12000002","North West","E08000007","Stockport","Jun-99",212
"E12000002","North West","E08000008","Tameside","Jun-99",175
"E12000002","North West","E08000009","Trafford","Jun-99",181
"E12000002","North West","E08000010","Wigan","Jun-99",1070
"E12000002","North West","E08000001","Bolton","Sep-99",481
"E12000002","North West","E08000002","Bury","Sep-99",314
"E12000002","North West","E08000003","Manchester","Sep-99",1115
"E12000002","North West","E08000004","Oldham","Sep-99",469
"E12000002","North West","E08000005","Rochdale","Sep-99",423
"E12000002","North West","E08000006","Salford","Sep-99",441
"E12000002","North West","E08000007","Stockport","Sep-99",240
"E12000002","North West","E08000008","Tameside","Sep-99",194
"E12000002","North West","E08000009","Trafford","Sep-99",185
"E12000002","North West","E08000010","Wigan","Sep-99",1006
"E12000002","North West","E08000001","Bolton","Dec-99",509
"E12000002","North West","E08000002","Bury","Dec-99",338
"E12000002","North West","E08000003","Manchester","Dec-99",1167
"E12000002","North West","E08000004","Oldham","Dec-99",419
"E12000002","North West","E08000005","Rochdale","Dec-99",450
"E12000002","North West","E08000006","Salford","Dec-99",393
"E12000002","North West","E08000007","Stockport","Dec-99",260
"E12000002","North West","E08000008","Tameside","Dec-99",238
"E12000002","North West","E08000009","Trafford","Dec-99",196
"E12000002","North West","E08000010","Wigan","Dec-99",968
"E12000002","North West","E08000001","Bolton","Mar-00",515
"E12000002","North West","E08000002","Bury","Mar-00",325
"E12000002","North West","E08000003","Manchester","Mar-00",1274
"E12000002","North West","E08000004","Oldham","Mar-00",397
"E12000002","North West","E08000005","Rochdale","Mar-00",436
"E12000002","North West","E08000006","Salford","Mar-00",373
"E12000002","North West","E08000007","Stockport","Mar-00",267
"E12000002","North West","E08000008","Tameside","Mar-00",276
"E12000002","North West","E08000009","Trafford","Mar-00",187
"E12000002","North West","E08000010","Wigan","Mar-00",991
"E12000002","North West","E08000001","Bolton","Jun-00",534
"E12000002","North West","E08000002","Bury","Jun-00",318
"E12000002","North West","E08000003","Manchester","Jun-00",1341
"E12000002","North West","E08000004","Oldham","Jun-00",338
"E12000002","North West","E08000005","Rochdale","Jun-00",424
"E12000002","North West","E08000006","Salford","Jun-00",344
"E12000002","North West","E08000007","Stockport","Jun-00",262
"E12000002","North West","E08000008","Tameside","Jun-00",338
"E12000002","North West","E08000009","Trafford","Jun-00",182
"E12000002","North West","E08000010","Wigan","Jun-00",983
"E12000002","North West","E08000001","Bolton","Sep-00",535
"E12000002","North West","E08000002","Bury","Sep-00",285
"E12000002","North West","E08000003","Manchester","Sep-00",1364
"E12000002","North West","E08000004","Oldham","Sep-00",307
"E12000002","North West","E08000005","Rochdale","Sep-00",393
"E12000002","North West","E08000006","Salford","Sep-00",329
"E12000002","North West","E08000007","Stockport","Sep-00",252
"E12000002","North West","E08000008","Tameside","Sep-00",392
"E12000002","North West","E08000009","Trafford","Sep-00",213
"E12000002","North West","E08000010","Wigan","Sep-00",970
"E12000002","North West","E08000001","Bolton","Dec-00",548
"E12000002","North West","E08000002","Bury","Dec-00",222
"E12000002","North West","E08000003","Manchester","Dec-00",1444
"E12000002","North West","E08000004","Oldham","Dec-00",294
"E12000002","North West","E08000005","Rochdale","Dec-00",375
"E12000002","North West","E08000006","Salford","Dec-00",288
"E12000002","North West","E08000007","Stockport","Dec-00",242
"E12000002","North West","E08000008","Tameside","Dec-00",450
"E12000002","North West","E08000009","Trafford","Dec-00",211
"E12000002","North West","E08000010","Wigan","Dec-00",928
"E12000002","North West","E08000001","Bolton","Mar-01",581
"E12000002","North West","E08000002","Bury","Mar-01",191
"E12000002","North West","E08000003","Manchester","Mar-01",1404
"E12000002","North West","E08000004","Oldham","Mar-01",284
"E12000002","North West","E08000005","Rochdale","Mar-01",377
"E12000002","North West","E08000006","Salford","Mar-01",269
"E12000002","North West","E08000007","Stockport","Mar-01",222
"E12000002","North West","E08000008","Tameside","Mar-01",453
"E12000002","North West","E08000009","Trafford","Mar-01",218
"E12000002","North West","E08000010","Wigan","Mar-01",888
"E12000002","North West","E08000001","Bolton","Jun-01",599
"E12000002","North West","E08000002","Bury","Jun-01",152
"E12000002","North West","E08000003","Manchester","Jun-01",1445
"E12000002","North West","E08000004","Oldham","Jun-01",281
"E12000002","North West","E08000005","Rochdale","Jun-01",365
"E12000002","North West","E08000006","Salford","Jun-01",244
"E12000002","North West","E08000007","Stockport","Jun-01",226
"E12000002","North West","E08000008","Tameside","Jun-01",443
"E12000002","North West","E08000009","Trafford","Jun-01",210
"E12000002","North West","E08000010","Wigan","Jun-01",837
"E12000002","North West","E08000001","Bolton","Sep-01",634
"E12000002","North West","E08000002","Bury","Sep-01",177
"E12000002","North West","E08000003","Manchester","Sep-01",1436
"E12000002","North West","E08000004","Oldham","Sep-01",265
"E12000002","North West","E08000005","Rochdale","Sep-01",315
"E12000002","North West","E08000006","Salford","Sep-01",231
"E12000002","North West","E08000007","Stockport","Sep-01",224
"E12000002","North West","E08000008","Tameside","Sep-01",417
"E12000002","North West","E08000009","Trafford","Sep-01",227
"E12000002","North West","E08000010","Wigan","Sep-01",832
"E12000002","North West","E08000001","Bolton","Dec-01",693
