"TimeID","Reg date","Authority code","Authority name","new births"
537,2015-09-01,"E08000007","Stockport",273
537,2015-09-01,"E08000008","Tameside",266
537,2015-09-01,"E08000009","Trafford",246
537,2015-09-01,"E08000010","Wigan",291
538,2015-10-01,"E08000001","Bolton",329
538,2015-10-01,"E08000002","Bury",205
538,2015-10-01,"E08000003","Manchester",686
538,2015-10-01,"E08000004","Oldham",271
538,2015-10-01,"E08000005","Rochdale",245
538,2015-10-01,"E08000006","Salford",313
538,2015-10-01,"E08000007","Stockport",302
538,2015-10-01,"E08000008","Tameside",235
538,2015-10-01,"E08000009","Trafford",271
538,2015-10-01,"E08000010","Wigan",278
539,2015-11-01,"E08000001","Bolton",344
539,2015-11-01,"E08000002","Bury",206
539,2015-11-01,"E08000003","Manchester",663
539,2015-11-01,"E08000004","Oldham",306
539,2015-11-01,"E08000005","Rochdale",247
539,2015-11-01,"E08000006","Salford",298
539,2015-11-01,"E08000007","Stockport",296
539,2015-11-01,"E08000008","Tameside",243
539,2015-11-01,"E08000009","Trafford",236
539,2015-11-01,"E08000010","Wigan",323
540,2015-12-01,"E08000001","Bolton",331
540,2015-12-01,"E08000002","Bury",209
540,2015-12-01,"E08000003","Manchester",712
540,2015-12-01,"E08000004","Oldham",301
540,2015-12-01,"E08000005","Rochdale",231
540,2015-12-01,"E08000006","Salford",319
540,2015-12-01,"E08000007","Stockport",258
540,2015-12-01,"E08000008","Tameside",242
540,2015-12-01,"E08000009","Trafford",237
540,2015-12-01,"E08000010","Wigan",281
541,2016-01-01,"E08000001","Bolton",304
541,2016-01-01,"E08000002","Bury",197
541,2016-01-01,"E08000003","Manchester",661
541,2016-01-01,"E08000004","Oldham",248
541,2016-01-01,"E08000005","Rochdale",251
541,2016-01-01,"E08000006","Salford",324
541,2016-01-01,"E08000007","Stockport",303
541,2016-01-01,"E08000008","Tameside",231
541,2016-01-01,"E08000009","Trafford",231
541,2016-01-01,"E08000010","Wigan",263
542,2016-02-01,"E08000001","Bolton",329
542,2016-02-01,"E08000002","Bury",203
542,2016-02-01,"E08000003","Manchester",616
542,2016-02-01,"E08000004","Oldham",275
542,2016-02-01,"E08000005","Rochdale",242
542,2016-02-01,"E08000006","Salford",272
542,2016-02-01,"E08000007","Stockport",286
542,2016-02-01,"E08000008","Tameside",235
542,2016-02-01,"E08000009","Trafford",219
542,2016-02-01,"E08000010","Wigan",266
543,2016-03-01,"E08000001","Bolton",298
543,2016-03-01,"E08000002","Bury",220
543,2016-03-01,"E08000003","Manchester",591
543,2016-03-01,"E08000004","Oldham",276
543,2016-03-01,"E08000005","Rochdale",230
543,2016-03-01,"E08000006","Salford",313
543,2016-03-01,"E08000007","Stockport",268
543,2016-03-01,"E08000008","Tameside",223
543,2016-03-01,"E08000009","Trafford",214
543,2016-03-01,"E08000010","Wigan",311
544,2016-04-01,"E08000001","Bolton",294
544,2016-04-01,"E08000002","Bury",208
544,2016-04-01,"E08000003","Manchester",641
544,2016-04-01,"E08000004","Oldham",277
544,2016-04-01,"E08000005","Rochdale",257
544,2016-04-01,"E08000006","Salford",295
544,2016-04-01,"E08000007","Stockport",270
544,2016-04-01,"E08000008","Tameside",227
544,2016-04-01,"E08000009","Trafford",222
544,2016-04-01,"E08000010","Wigan",282
545,2016-05-01,"E08000001","Bolton",316
545,2016-05-01,"E08000002","Bury",198
545,2016-05-01,"E08000003","Manchester",696
545,2016-05-01,"E08000004","Oldham",283
545,2016-05-01,"E08000005","Rochdale",242
545,2016-05-01,"E08000006","Salford",322
545,2016-05-01,"E08000007","Stockport",311
545,2016-05-01,"E08000008","Tameside",263
545,2016-05-01,"E08000009","Trafford",227
545,2016-05-01,"E08000010","Wigan",311
546,2016-06-01,"E08000001","Bolton",328
546,2016-06-01,"E08000002","Bury",172
546,2016-06-01,"E08000003","Manchester",724
546,2016-06-01,"E08000004","Oldham",273
546,2016-06-01,"E08000005","Rochdale",258
546,2016-06-01,"E08000006","Salford",289
546,2016-06-01,"E08000007","Stockport",259
546,2016-06-01,"E08000008","Tameside",249
546,2016-06-01,"E08000009","Trafford",255
546,2016-06-01,"E08000010","Wigan",311
547,2016-07-01,"E08000001","Bolton",318
547,2016-07-01,"E08000002","Bury",169
547,2016-07-01,"E08000003","Manchester",719
547,2016-07-01,"E08000004","Oldham",312
547,2016-07-01,"E08000005","Rochdale",260
547,2016-07-01,"E08000006","Salford",347
547,2016-07-01,"E08000007","Stockport",263
547,2016-07-01,"E08000008","Tameside",257
547,2016-07-01,"E08000009","Trafford",239
547,2016-07-01,"E08000010","Wigan",323
548,2016-08-01,"E08000001","Bolton",349
548,2016-08-01,"E08000002","Bury",218
548,2016-08-01,"E08000003","Manchester",695
548,2016-08-01,"E08000004","Oldham",286
548,2016-08-01,"E08000005","Rochdale",262
548,2016-08-01,"E08000006","Salford",329
548,2016-08-01,"E08000007","Stockport",303
548,2016-08-01,"E08000008","Tameside",238
548,2016-08-01,"E08000009","Trafford",243
548,2016-08-01,"E08000010","Wigan",284
549,2016-09-01,"E08000001","Bolton",332
549,2016-09-01,"E08000002","Bury",207
549,2016-09-01,"E08000003","Manchester",679
549,2016-09-01,"E08000004","Oldham",293
549,2016-09-01,"E08000005","Rochdale",277
549,2016-09-01,"E08000006","Salford",307
549,2016-09-01,"E08000007","Stockport",286
549,2016-09-01,"E08000008","Tameside",241
549,2016-09-01,"E08000009","Trafford",273
549,2016-09-01,"E08000010","Wigan",335
550,2016-10-01,"E08000001","Bolton",330
550,2016-10-01,"E08000002","Bury",191
550,2016-10-01,"E08000003","Manchester",672
550,2016-10-01,"E08000004","Oldham",262
550,2016-10-01,"E08000005","Rochdale",289
550,2016-10-01,"E08000006","Salford",292
550,2016-10-01,"E08000007","Stockport",290
550,2016-10-01,"E08000008","Tameside",242
550,2016-10-01,"E08000009","Trafford",231
550,2016-10-01,"E08000010","Wigan",290
551,2016-11-01,"E08000001","Bolton",301
551,2016-11-01,"E08000002","Bury",192
551,2016-11-01,"E08000003","Manchester",620
551,2016-11-01,"E08000004","Oldham",268
551,2016-11-01,"E08000005","Rochdale",242
551,2016-11-01,"E08000006","Salford",315
551,2016-11-01,"E08000007","Stockport",300
551,2016-11-01,"E08000008","Tameside",226
551,2016-11-01,"E08000009","Trafford",229
551,2016-11-01,"E08000010","Wigan",275
552,2016-12-01,"E08000001","Bolton",317
552,2016-12-01,"E08000002","Bury",187
552,2016-12-01,"E08000003","Manchester",633
552,2016-12-01,"E08000004","Oldham",274
552,2016-12-01,"E08000005","Rochdale",262
552,2016-12-01,"E08000006","Salford",290
552,2016-12-01,"E08000007","Stockport",284
552,2016-12-01,"E08000008","Tameside",244
552,2016-12-01,"E08000009","Trafford",230
552,2016-12-01,"E08000010","Wigan",307
553,2017-01-01,"E08000001","Bolton",327
553,2017-01-01,"E08000002","Bury",211
553,2017-01-01,"E08000003","Manchester",610
553,2017-01-01,"E08000004","Oldham",287
553,2017-01-01,"E08000005","Rochdale",268
553,2017-01-01,"E08000006","Salford",297
553,2017-01-01,"E08000007","Stockport",271
553,2017-01-01,"E08000008","Tameside",251
553,2017-01-01,"E08000009","Trafford",239
553,2017-01-01,"E08000010","Wigan",296
554,2017-02-01,"E08000001","Bolton",282
554,2017-02-01,"E08000002","Bury",167
554,2017-02-01,"E08000003","Manchester",574
554,2017-02-01,"E08000004","Oldham",258
554,2017-02-01,"E08000005","Rochdale",220
554,2017-02-01,"E08000006","Salford",249
554,2017-02-01,"E08000007","Stockport",251
554,2017-02-01,"E08000008","Tameside",222
554,2017-02-01,"E08000009","Trafford",203
554,2017-02-01,"E08000010","Wigan",266
555,2017-03-01,"E08000001","Bolton",276
555,2017-03-01,"E08000002","Bury",171
555,2017-03-01,"E08000003","Manchester",653
555,2017-03-01,"E08000004","Oldham",255
555,2017-03-01,"E08000005","Rochdale",252
555,2017-03-01,"E08000006","Salford",274
555,2017-03-01,"E08000007","Stockport",284
555,2017-03-01,"E08000008","Tameside",258
