"TimeID","Reg date","Provider URN","Provider type","Provider name","Authority code","Authority name","Registered places"
564,2017-12-19,"EY554522","Childcare - Non-Domestic","Rocking Horse Nursery","E08000003","Manchester",47
564,2017-12-19,"EY555313","Childcare - Non-Domestic","Premier Sport After School Club Club","E08000006","Salford",0
564,2017-12-18,"EY554706","Childminder","REDACTED","E08000008","Tameside",0
564,2017-12-12,"EY551719","Childcare - Non-Domestic","Best Of  Friends","E08000001","Bolton",66
564,2017-12-12,"EY554548","Childcare - Non-Domestic","Afc Social Opps","E08000002","Bury",20
564,2017-12-12,"EY553957","Childminder","REDACTED","E08000009","Trafford",12
564,2017-12-12,"EY554178","Childminder","REDACTED","E08000005","Rochdale",5
564,2017-12-12,"EY555465","Home Childcarer","REDACTED","E08000003","Manchester",0
564,2017-12-12,"EY554762","Childcare - Non-Domestic","Laroche Day Care Nursery","E08000005","Rochdale",63
564,2017-12-11,"EY553632","Childminder","REDACTED","E08000003","Manchester",6
564,2017-12-06,"EY551817","Childminder","REDACTED","E08000008","Tameside",6
564,2017-12-05,"EY551833","Childcare - Non-Domestic","Kiddie Kloud Nursery","E08000007","Stockport",54
564,2017-12-04,"EY554791","Childminder","REDACTED","E08000009","Trafford",6
563,2017-11-30,"EY549690","Childminder","REDACTED","E08000009","Trafford",6
563,2017-11-29,"EY547864","Childminder","REDACTED","E08000008","Tameside",3
563,2017-11-28,"EY553985","Childcare - Non-Domestic","Little Sports at Platt Lane Sports Complex","E08000003","Manchester",0
563,2017-11-28,"EY553333","Childminder","REDACTED","E08000007","Stockport",6
563,2017-11-27,"EY553447","Childminder","REDACTED","E08000006","Salford",6
563,2017-11-24,"EY551937","Childminder","REDACTED","E08000004","Oldham",6
563,2017-11-23,"EY550984","Childminder","REDACTED","E08000008","Tameside",6
563,2017-11-22,"EY554235","Childminder","REDACTED","E08000007","Stockport",6
563,2017-11-22,"EY552815","Childminder","REDACTED","E08000007","Stockport",6
563,2017-11-22,"EY554068","Home Childcarer","REDACTED","E08000009","Trafford",0
563,2017-11-21,"EY549552","Childcare - Non-Domestic","Kip McGrath Bury","E08000002","Bury",0
563,2017-11-21,"EY549379","Childminder","REDACTED","E08000008","Tameside",6
563,2017-11-21,"EY553197","Childminder","REDACTED","E08000002","Bury",6
563,2017-11-21,"EY554738","Home Childcarer","REDACTED","E08000002","Bury",0
563,2017-11-21,"EY555399","Childcare - Non-Domestic","Learning Centre","E08000003","Manchester",0
563,2017-11-21,"EY552279","Childminder","REDACTED","E08000008","Tameside",6
563,2017-11-21,"EY553903","Childcare - Non-Domestic","Little Sports Coaching","E08000004","Oldham",32
563,2017-11-20,"EY553428","Childminder","REDACTED","E08000006","Salford",6
563,2017-11-20,"EY552826","Childminder","REDACTED","E08000005","Rochdale",6
563,2017-11-20,"EY554035","Childminder","REDACTED","E08000006","Salford",6
563,2017-11-20,"EY553185","Childminder","REDACTED","E08000003","Manchester",3
563,2017-11-16,"EY553215","Childminder","REDACTED","E08000010","Wigan",6
563,2017-11-16,"EY555069","Home Childcarer","REDACTED","E08000009","Trafford",0
563,2017-11-15,"EY552641","Childminder","REDACTED","E08000001","Bolton",4
563,2017-11-13,"EY553652","Childcare - Non-Domestic","Schools Out Of Hours","E08000004","Oldham",50
563,2017-11-13,"EY553670","Childcare - Non-Domestic","Monkey Puzzle Day Nursery Altrincham","E08000009","Trafford",59
563,2017-11-13,"EY550447","Childminder","REDACTED","E08000007","Stockport",6
563,2017-11-10,"EY553065","Childminder","REDACTED","E08000006","Salford",6
563,2017-11-09,"EY553982","Childcare - Non-Domestic","The Grammar","E08000009","Trafford",0
563,2017-11-09,"EY551580","Childminder","REDACTED","E08000008","Tameside",6
563,2017-11-09,"EY553636","Childminder","REDACTED","E08000007","Stockport",6
563,2017-11-08,"EY551492","Childminder","REDACTED","E08000006","Salford",6
563,2017-11-07,"EY554122","Childcare - Non-Domestic","Jonosheba Tuition","E08000004","Oldham",0
563,2017-11-07,"EY552724","Childcare - Non-Domestic","Overdale Preschool","E08000007","Stockport",30
563,2017-11-07,"EY551983","Childcare - Non-Domestic","Kip McGrath Walkden","E08000006","Salford",0
563,2017-11-06,"EY552842","Childminder","REDACTED","E08000002","Bury",6
563,2017-11-06,"EY553988","Childcare - Non-Domestic","Lsc @ Greenbank Preparatory School","E08000007","Stockport",0
563,2017-11-03,"EY550612","Childminder","REDACTED","E08000004","Oldham",6
563,2017-11-03,"EY552692","Childminder","REDACTED","E08000002","Bury",6
563,2017-11-03,"EY552408","Childcare - Non-Domestic","Bright Starts Day Nursery Whitefield","E08000002","Bury",40
563,2017-11-03,"EY553912","Childcare - Non-Domestic","Kids Wreck","E08000001","Bolton",83
563,2017-11-02,"EY554714","Childcare - Non-Domestic","Playkidds 2","E08000006","Salford",20
562,2017-10-31,"EY553634","Childcare - Non-Domestic","Kickstart Childcare","E08000006","Salford",10
562,2017-10-30,"EY553285","Home Childcarer","REDACTED","E08000009","Trafford",0
562,2017-10-30,"EY551040","Childminder","REDACTED","E08000007","Stockport",6
562,2017-10-30,"EY553326","Childcare - Non-Domestic","Madina Seeds Nursery","E08000004","Oldham",60
562,2017-10-30,"EY551479","Childminder","REDACTED","E08000010","Wigan",6
562,2017-10-27,"EY552728","Childminder","REDACTED","E08000007","Stockport",6
562,2017-10-27,"EY545898","Childminder","REDACTED","E08000009","Trafford",6
562,2017-10-26,"EY553462","Childminder","REDACTED","E08000004","Oldham",6
562,2017-10-26,"EY553522","Childcare - Non-Domestic","Croft House Nursery","E08000001","Bolton",62
562,2017-10-26,"EY548542","Home Childcarer","REDACTED","E08000007","Stockport",0
562,2017-10-26,"EY552375","Childminder","REDACTED","E08000001","Bolton",6
562,2017-10-25,"EY551199","Childminder","REDACTED","E08000010","Wigan",6
562,2017-10-25,"EY554062","Home Childcarer","REDACTED","E08000009","Trafford",0
562,2017-10-25,"EY551737","Childminder","REDACTED","E08000007","Stockport",6
562,2017-10-23,"EY553864","Home Childcarer","REDACTED","E08000009","Trafford",0
562,2017-10-23,"EY552854","Home Childcarer","REDACTED","E08000003","Manchester",0
562,2017-10-23,"EY550774","Childcare - Non-Domestic","Whosh","E08000003","Manchester",30
562,2017-10-22,"EY552993","Childminder","REDACTED","E08000004","Oldham",6
562,2017-10-20,"EY553216","Childminder","REDACTED","E08000007","Stockport",6
562,2017-10-19,"EY550142","Childcare - Non-Domestic","Kip McGrath Education Centres - Ramsbottom","E08000002","Bury",0
562,2017-10-19,"EY552212","Childminder","REDACTED","E08000006","Salford",6
562,2017-10-17,"EY552005","Childcare - Non-Domestic","Kip McGrath","E08000007","Stockport",0
562,2017-10-17,"EY551112","Childminder","REDACTED","E08000009","Trafford",6
562,2017-10-16,"EY549252","Childcare - Non-Domestic","Aspire Kids Varsity","E08000002","Bury",54
562,2017-10-13,"EY552104","Childcare - Non-Domestic","Kumon Hale Barns Study Centre","E08000009","Trafford",0
562,2017-10-13,"EY550065","Childminder","REDACTED","E08000004","Oldham",6
562,2017-10-13,"EY552482","Childcare - Non-Domestic","Fleximinder","E08000009","Trafford",28
562,2017-10-12,"EY552367","Childminder","REDACTED","E08000004","Oldham",6
562,2017-10-12,"EY552986","Home Childcarer","REDACTED","E08000003","Manchester",0
562,2017-10-12,"EY551367","Childminder","REDACTED","E08000009","Trafford",6
562,2017-10-12,"EY550402","Childcare - Non-Domestic","Kidzone","E08000001","Bolton",80
562,2017-10-11,"EY551266","Childminder","REDACTED","E08000007","Stockport",6
562,2017-10-10,"EY552457","Childcare - Domestic","REDACTED","E08000009","Trafford",9
562,2017-10-05,"EY549477","Home Childcarer","REDACTED","E08000009","Trafford",0
562,2017-10-05,"EY549193","Childcare - Non-Domestic","Olive Garden Nursery","E08000001","Bolton",69
562,2017-10-05,"EY550611","Childminder","REDACTED","E08000009","Trafford",6
562,2017-10-05,"EY552107","Childminder","REDACTED","E08000006","Salford",4
562,2017-10-05,"EY551203","Childcare - Non-Domestic","Buttons And Bows Private Day Nursery And Pre-School","E08000010","Wigan",8
562,2017-10-04,"EY551028","Childminder","REDACTED","E08000007","Stockport",6
562,2017-10-03,"EY552407","Childcare - Non-Domestic","Tiny Tigers Nursery","E08000003","Manchester",86
562,2017-10-03,"EY551853","Childminder","REDACTED","E08000003","Manchester",3
562,2017-10-03,"EY549830","Childminder","REDACTED","E08000008","Tameside",6
562,2017-10-03,"EY551044","Childminder","REDACTED","E08000004","Oldham",6
562,2017-10-02,"EY550578","Childcare - Non-Domestic","Amaryllis Day Nursery","E08000009","Trafford",52
